id,review,class
137,Did not work on my new iPhone 5s Only showed sliding logo's,problem discovery
293,"Pretty good but glitches Wanted to use flight filters, but it wasn't applying them Had to start search over Haven't used it much yet",problem discovery
16,You need to improve the hebrew editing..,problem discovery
87,This app used to work so well...now it never works. Please fix. It keeps sending me warning messages.,problem discovery
54,It seems like a cool app from what I have been able to see. It crashes everytime I get it open. The free app got me hooked which never crashed. Get this fixed please and I will resubmit a review.,problem discovery
267,I did the update and they made me change my password I logged in with my new password and ALL of my files are missing! And then I logged into my account through the website and no notes are there either This is great since midterms are next week and all of my notes are gone '(,problem discovery
369,Needs Update!	It still needs updates! Its a bit slow! I hope whatsapp fixes this problem! I know they are too busy but they have to take out time for us!,problem discovery
154,Keep up the good work but camera upload has stopped working for me No matter what I change no photos or videos will load,problem discovery
82,It is useful to check balance and do transfers but mobile deposit simply doesn't work it refuses to see my signature. I called support and their suggestions were set camera to highest quality and delete and reinstall app neither of which were any help. So now I am stuck mailing the 'For mobile deposit only' check to them hoping that  PNC bank by mail works a lot better than this app!,problem discovery
134,I may give it a way better review when they fix it but EXPECT it to crash ll the time...about every 3-4 filters I downloaded & it then crashed. Frustrating. Once it FROZE and I had to delete & re-install. :-(,problem discovery
299,Worst	Atleast reply and help   Worst since four days trying to register everytime they cut balnce for verification them send voice verification nd then fails that also  crap  negative star,problem discovery
185,This latest update did nothing to stop crashes Completely unusable,problem discovery
97,Loaded to my iTouch.  In it Everything is completely opposite - East reads as West.  North reads as South etc.  Don't get this app unless you want to get lost!!  Will proceed to Delete immediately.,problem discovery
368,Become very unstable and unsupported to my device	Now a days it gives a big problem for my HTC desire V device  whenever someone or group chat text message me in marathi language or used in more smily in that  message that time whatsapp is directly closed and suddenly come back to the home screen and never open it,problem discovery
374,What the heck?	Love the program BUT since you added the 'share this pin'  option I have been receiving spam that my friends did not send  My account was hacked too How about a fix???,problem discovery
203,In theory it's great but once a PDF is selected it can be impossible to close it  I have resorted to tapping relentlessly on my screen so some magic will show the tools  The PDF just sits there  Way more effective to go through a browser  Really?  Irritating!,problem discovery
313,Im a dude	Im a dude and i love pinterest The app is little glitchie on Android and iPhone but its getting better,problem discovery
65,Doesn't work at all.  Want my .99 or an app that works!,problem discovery
133,"I like this game a lot, play all the time cannot put down...however there is one issue, the game lags can you please fix. Thanks",problem discovery
342,"Why did you remove open in option for music files?
I used to be able to do this with my sound files Why??",problem discovery
312,"I love pinning!	I love pintrest and this app lets me use it anywhere The only problem I've had is that if i turn my phone sideways, the screen gets messed up and i have to exit out of the appplease fix!",problem discovery
56,Can't easily share composition due to file type.,problem discovery
145,Use to be good until I cannot open any office documents,problem discovery
117,Is been downloading for 2 days and still downloading,problem discovery
370,its problem is about not being allowed ur last online status,problem discovery
147,Great app I love the new design but with the new update when you try to share a link to a specific file that has a space in the file name I have to manually replace the spaces with %20 so it will hyperlink correctly This used to not be a problem Please fix this ?? Other than that one problem this is a great app also I like the fact that if you download a picture from the app onto the iPhone it doesn't auto upload the picture so you have 2 copies of the same photo in the auto upload folder Thank you for that fix Keep up the great work??,problem discovery
121,Crap. Doesn't work. Try something else. Don't waste your time!!!,problem discovery
320,Crashes all the time!,problem discovery
18,it is very important to add a landscape sheet orientation and Word Art (basic options at least),problem discovery
275,"Used to be a good application with ability to search cities you haven't yet reached and filter by rating as well as proximity however those features have been replaced with functionality focused on marketing hotels

Don't use this application purchase a good guidebook instead",problem discovery
135,Doesn't work for texting. You have to update ap or give instructions how it works for text. Just one star for trying. I'm a texting person. But this ap doesn't do that.,problem discovery
106,"I love having my nook on my iPad and I love having so many books always with me. Sometimes, though, I wish I could get certain books they don't have.",problem discovery
330,"Good as an editor,but a little slow	Yeah! It is good but a li'l bit slow ",problem discovery
79,This App Is Horrible. They Need To Update It x5. I Juss Got It And Its Taking Forever For The Features To Load. #TRASHHHH!,problem discovery
233,"As recently as last week, I used this as almost my central control for everything  After the latest upgrades, there were issues and now it crashes and I cannot access anything  I am left in a very difficult situation  Please fix it!",problem discovery
23,"Great game	Was at last able to download it. The game is very good, graphics are awesome, loved it a lot. App is really smooth. I just wish the upgrades were permanent and the customization was more like the original most wanted and free roam feature is there. Rest is perfect.",problem discovery
218,please fix it it's the most often used function for me,problem discovery
33,I will give this app a much higher rating if you fix the Larimer County Fire and EMS...,problem discovery
255,"Started with app not getting all notes Deleted and reinstalled app Fixed that Now when I select all notes, it opens to a specific note and freezes when I try to go back So here I am to try reinstalling again iPhone 5 ios7",problem discovery
127,"I loved this app. I used it all the time, but after the update it won't get connected. And it crashes a lot. What's up with that?",problem discovery
31,"Love the organization, features, and style, but the bugs make it impossible to use. The app isn't worth the money until the bugs are fixed.",problem discovery
81,Why did it update?? It logged me out and now it took all my books. I also haven't found how to buy books. Where is the store!?!? I need help...,problem discovery
376,"Great app but	I wish I could move pins, from one board to another, in bulk instead of one by one When I edit my boards it takes too long to move one pin at a time Other than that I love the app",problem discovery
5,Not good	Why i cannot clear chat history. Come on.  There is no option for clear history. Please fix that!,problem discovery
125,Has started having issues sending photos recently. I have to send a half dozen before one will go througj,problem discovery
358,"but i don't understand why we can't add a website even though it's an option also, it'll be cool to add videos!",problem discovery
345,"At around 5pm every day all of my latest (today's) files just disappear They are still there though I can search for them and find them Then tomorrow, they are magically back!

On my desktop there is no issue Just on iOS 

Is this a known bug?",problem discovery
61,"Worst thing I ever brought, I want my four dollars back!!!!! Don't work good at all!!!!!",problem discovery
254,"I find I must logon again each and every time I open the app on my iPad2 running iOS7 Curiously, this doesn't happen on my iPhone 4S Grr",problem discovery
365,"Need to improve functionality on this app 
Can't vote reviews helpful
Can't read your own contributions or see badges
Have to scroll thru all the pictures to get to the end Would be nice if you could skip to the oldest newest Pics without scrolling thru each one 
Back button needs work as well

Otherwise, good for the basics!",problem discovery
244,"Updated and lost all my notes Great work guys Do all your fans a favor - fire all your current programmers, offer the 2011 version as an update, and then call it a day",problem discovery
201,This app used to be flawless! But after recent updates I have issues uploading things I'll select a bunch of my photos to back up and the app will crash out and only upload a few and not all Major bummer!,problem discovery
37,"It crashes constantly when searching for POIs, so I upgraded to 3.1.4 and it still crashes, maybe more often. Really frustrating that this is not coded better, it could be a very useful app. At least it was cheap.",problem discovery
148,Can't even uploadtransfer a file from Pages,problem discovery
300,5 star	Excellent but a bit slow running,problem discovery
86,Very good,problem discovery
276,The app makes me manage my trip right on my phone Totally handy But the performance is no smooth at all The app needs to be fixed random crashes and glitchy performance,problem discovery
124,"I was happy to see this app however it doesn't work and caused all sorts or network configuration problems. I called hp to reset printer, iPad, and computer and even they couldn't figure out what the problem was. After a ton of lost time I decided to erase the app and it allowed the iPad to find the printer using AirPrint again. This app needs a lot of work so I would use extreme caution downloading it at this time. Big waste of time!",problem discovery
347,Won't let me view my excel spread sheets from my iPhone Please fix it other than that love the app,problem discovery
139,Flat out will not open on a new iPad Air,problem discovery
220,"It was cool, until the last update where now I can't upload from my iPhone It starts uploading , the progress bar shows it going, then when radionics he'd, the progress bar just starts again and again going over and over",problem discovery
266,"Worked great with Dolphin, until the last update Now it is not",problem discovery
112,At first usage I realized that if you go to send an email there is no Cancel or Back button!  My App is stuck on this screen!  I don't know how the rest of it works because it's stuck on that screen :(,problem discovery
228,"Since updating to iOS7 and latest update of Evernote the spell check feature is not there any longer  I utilize this for work, and rely on it for reports  I figured give it a couple of weeks and they would fix it, but it's been over two months now and no fix  Let's get it together Evernote team so I can give a 5 star review for this app again",problem discovery
113,"I have so many apps through my iPhone and this is the worst one I've ever used! It deletes messages that I dont delete, doesn't send messages that I send, and doesn't even save my favorites when I click to save them! Truly horrible. I really hope you guys upgrade and soon because it's making it pointless for me to be on the site...",problem discovery
236,"Agree with recent reviewers - this update completely ruined this excellent app for the iPhone on IOS7 Doesn?t work AT ALL Opens, then freezes completely and can?t even open any of my notes or create new ones
Doesn?t anyone test these apps before releasing them??  Please fix ASAP!!",problem discovery
356,It is overwriting my notes with outdated versions The complaints about syncing issues with the iOS 7 update are spot on Stay with the iOS6 version if possible!,problem discovery
198,"I use ipad mini But I cant even access to my account because the app crashes in iphone size every time i open it Need a hotfix, URGENT",problem discovery
314,Love to Pin it!	I love pintrest Super fun ideas and the app works great most if the time Sometimes it spools but not very often,problem discovery
256,"I loved the app, but ever since I installed iOS 7 and updated the app, it does not start Please fix it",problem discovery
280,"Used to be my most used app, but now it's a pain to find hotels when searching a geographical location  I now have to enter numerous towns and do numerous searches to find what I'm looking for  New version is a step in wrong direction",problem discovery
57,"This may sound like a broken record, but I really like your app when it can download. But it can't now. I hate having to type this, but this needs to be fixed.",problem discovery
226,"Was nice , won't open since update",problem discovery
176,The current version doesn't show all files in dropbox Please fix!,problem discovery
336,"I used to be able to view xls files on my iPad AND iPhone  I can still view them on my iPhone but they no longer open on the iPad 

Sometimes the files will open for a few seconds and then a gray screen comes up Most of the time I just get the gray screen  The gray screen has the file name, 'Office Open XML Spreadsheet'' and the file size

My spreadsheets are simple (no macros) and small in size  I've tried creating new spreadsheets and have the same issue  Web research shows others have same issue but no fixes have worked for me 

I'm on the latest IOS 704 and the most recent version of Dropbox 301

Chat with Apple Support says it is a DropBox issue",problem discovery
158,Version 30 auto updated today and now my photos won't upload Luckily my SkyDrive added an upload feature,problem discovery
348,The app in iPhone needs important issue 'share via email',problem discovery
251,Constant crashes in iOS 7 8 crashes in 30 minutes  Evernote not really ready for new iOS,problem discovery
168,"I generally love Dropbox, but since I upgraded to iOS 7 I can no longer view html files properly (I am referring to files saved on my Dropbox as html) I used to view them displayed nicely as web pages, but now I just see the source code instead! Can you please fix that??

Also, can you please add the option to copy and move files? It would be a very useful feature!! Thanks!",problem discovery
338,"The new interface is a very big disappointment Is there any way to get Version 232 back?
Way too much white space which is hard on the eyes Also, still not able to rename files -- unbelievable!!!",problem discovery
250,I've not been able to use the app because it keeps crashing! What a PAIN!,problem discovery
206,Caught in a loop forever after trying to load a video and also forever looping in the initial how to adobe file Very sad,problem discovery
307,"152 Update	What's happened to this app? The people I follow page isn't working properly, the images disappear and nothing happens when it's refreshed! It's been all good until now Fix it please",problem discovery
355,It's an amazing app and I love it's features except for one little problem The GPS feature is a bit off I'm at home and when I want to make a quick note it gives me the wrong address It would be great if this could get fixed,problem discovery
211,"Since new update 21 on Feb 15th, I get a splash screen followed by a crash
Otherwise, 5*",problem discovery
188,I did not give permission to upload pics The settings say its off yet it continues to upload STOP!!!,problem discovery
51,"Love the app, but i can't access my recipes that I saved online or save any. It keeps saying they are working on it. Wish I had not purchased it!",problem discovery
109,"Can not even select a flight date anymore!! Don't waste your time here. Sheesh, why don't ya charge more for luggage so you can hire a programmer!",problem discovery
304,Better	Em having Samsung galaxy s 4 ad I am facing problem when I updated what's appplz fix it,problem discovery
235,"I had this program for 2 months, had allot of very important information kept inside, picturesnotesmemos, etc ,all of a sudden while using it, it CRASHED on me and when I went back in, everything was gone! Wiped out completely!?! I use an IPad 2 with plenty of memory, had no other programs running to even suggest a conflict! DO NOT USE THIS UNLESS YOU WISH TO RISK LOSING IMPORTANT DOCUMENTSfiles information TRUST ME, I am very computer literate  This program is loaded with problems even if you continue to download all there 'bug fixes'",problem discovery
196,"awful appI uploaded HUNDREDS of photos but app could not upload them alllost hundreds of precious memories of concerts, times with friends, etc I was SOLELY relying on this app I had NO back up for these photos and deleted them when it said they were done now they are gone I can NOT access them",problem discovery
108,"Can't login in on my iPad 3, tells me my password is incorrect.",problem discovery
245,I'm SO upset! I've been using this app for a year &amp have patiently endured the slow process of improvement It had really gotten quite good Then this last bungled attempt has made the app virtually useless Shame on Evernote's QC group (if they even have one?),problem discovery
334,"My iPad air and iPhone 4 on iOS 7 still will not open any pages documents, all they show is the document name and size",problem discovery
21,"Great!! Need more country backgrounds & borders...	Need more country backgrounds and borders..
",problem discovery
286,When you select an attraction and click around to read reviews and view pictures and then go back to the full like it defaults back to the beginning of the list and you have to hit 'next page' a several times to find the place you left off Very annoying,problem discovery
237,"I love Evernote I use it on my Mac and I use it on my iPhone I love the Evernote app but ever since the last update, which was a few days ago, this app has been giving me nothing but problems Sometimes it just doesn't open All I keep seeing is a blank screen Sometimes it opens up but then while going back and forth between notes or notebooks it simply gets stuck and doesn't respond to any finger taps or actions I hope the Evernote people improve this app and fix these bugs because I truly love Evernote and would like to keep using it But lately I have encountered nothing but serious quality problems with Evernote",problem discovery
32,"And on top of that every posting requires re-verification through email, even to re-post postings on a verified account I have on which through computer it asks for nothing. 

When trying to add a picture to the posting, the ""add picture"" links are frayed out so you can't click to upload photos. 

Terrible all around.",problem discovery
9,Where dat mini games at?	There should be mini games like in the iphone/ipod version,problem discovery
47,This app isnt that great first it dont let u play flash videos n the rexomended video is horrible it always pops up that my connection is bad wen i have full bars its slow and crashes,problem discovery
70,Ya they went way to far! There was a bug the the game that sold your cell phone info and charge u things that you don't agree to.  So to hell with angry birds.  Don't get it....it's a scam to take more money then u paid for and sign u up to pay $10.00 each month from ur phone bill to pay some other county. It's a scam!!!!!!! That is ur warning!!!!,problem discovery
126,It is an awesome app to have. But it sometime shuts down when u try to open it. But the calls r ok and the texting is good!?????????????????????????????????????????????????????????????????,problem discovery
199,It was working fine with no problems and now I can't even get the app to open!! Not happy about this at all!! Please fix!!! I even deleted the app and re downloaded n it still doesn't open this is very frustrating because this a great app when it actually works!!,problem discovery
77,Crashes as soon as I try to load it.,problem discovery
353,"I like the fact that I can download drop box on any device and share pics What I don't like is the time it takes to download pics and that in order to download I have to always be connected to the Internet, this keeps the pics from downloading some times when I am away from wifi 2613 i'm still trying to figure out app support pictures are not downloading and i am going to remove this app from my IPAD its worthless",problem discovery
294,Finebt cud b improved!!	Its d most popular app in any smartphn But it has becum too slow since d last update!! Pls fix!! Odrwse it s a 5 on 5 material!!,problem discovery
105,Loved this game. My husband n I were on competition I updated he didn't. No way can u get ahead if I can't reset. Deleting a once awesome game.,problem discovery
165,Downloaded it to find that it doesn't even open The AppStore says it's downloaded but nothing shows up in my app selection screen,problem discovery
344,One flaw is the fact that its almost impossible to load mp3s or WAV files over data It will play for a second or two then say its unable to load this file Fix please!,problem discovery
339,Why is this for iOS 7 only now? Not very fair for people wanting to run this on older devices or don't wish to downgrade to cruddy iOS 7,problem discovery
232,Since the last update the app keeps crashing I need my notes! Please help,problem discovery
155,"I want the old version , this don't have the option to share my files via Facebook message ,please bring back the previous version or fix that !!!!",problem discovery
164,"I've always found Dropbox a bit buggy, but it's gotten worse since I updated to IOS 7  When I download zip files or webpages &amp open the files, the screen is blank, blackened or a blurred enlarged image of the symbol (of Facebook, Google or other symbols related to the site that the the zip file or webpages it came from 

As a teacher, I rely on having access online &amp off line related to research  for work my work as a teacher  Also, I am required to write notes &amp save them as zip files in order to save space

So, please fix Dropbox! Why does it keep telling me that I can't open some documents &amp that I don't have the authorization to alter or edit my document on the flip side, some documents tell me to enter a password (???)

If anyone has any suggestions to improve this or recommends a different program to recommend, I would appreciate it

Thanks!",problem discovery
302,"I like this app, which allow us to chat, share music and video	But in my mobile, after downloading the app, it works six months after that again it shows date failure and it will not work Again I have to download",problem discovery
297,It's awesome	However recently there is lapse to receive the message  Didn't receive notification until open up the app,problem discovery
27,"Nice	Nice app, I enjoy it but my kids have more fun. I wish they had more manly stuff. Until then I give it 4 stars
",problem discovery
192,"It allows me to share individual photos but not entire folders!  What good is that?? I can easily text someone a single photo  WTH ?  I want to be able to send a link to people of an entire folder with many pics in it from my mobile  Seems useless now 

On the other hand I do like that I can view and share excel documents That's pretty cool Although it does take quite a while to load it seems",problem discovery
363,"You can't scroll very well when your trying to find a hotel, there's no search function that would find the hotel I was staying at and the attractions around and close by When scrolling  the hotels you would get to the bottom but it would let go on the the next 20 until you tap on a hotel then you could scroll down to the next 20 It has some good photos of every thing when you find it it doesn't perform  well on my iPad it's slow and it hard find what information your looking for if I was to use to book a hotel it might be worth it",problem discovery
357,"I can't believe you guys removed one of the most useful features of Evernote, which was the ability to style lines as either a section, subsection, paragraph or blockquote That was the only way we could give some hierarchy to our notes

Now all my notes are one dimensional and its impossible to organize my thoughts How could the Evernote team consider that this feature was unnecessary? Do you guys not use your own app? How am I supposed to outline my notes? This is really a big let down to an otherwise great update But it's too big an omission for me too be happy about anything else That's why I give it 2 stars",problem discovery
74,"I just tested this app out so that I could view Horrible Bosses as an UltraViolet Digital Copy, and I noticed that the movie was hard to see in some places because of what looked like really bad blurry areas right after the logos. This happened throughout the movie. This never happened to me with the regular digital copies that were compatible with iTunes. I could see everything clearly when I was using the regular digital copies. I think that if I have to buy these combo packs with UltraViolet Digital Copy, I will never use this app again. I'll stick to the UltraViolet/Flixster cloud because there it wasn't blurry at all. On top of this, since the update ALL the UltraViolet movies are buffering and skipping. This never happened with my last update. Please fix.",problem discovery
230,"The app used to work great, but now it keeps freezing and I can't get into my  notes It is very frustrating I have to delete the app and download it again What a pain!!",problem discovery
240,Freezing on start up all the time Becomes useless Considering other apps,problem discovery
98,Hangs up multiple points in interface. Way too buggy to be useable.,problem discovery
241,"Im on an original iPad mini and so maybe that's part of he deal but it seems like there are still little thins that need some work For example the spell check doesn't work just right and the search is slow at times Neither of these or any others will keep from giving this app a great rating 

I also think that here are improvements I hope to see in the future One is full screen mode Maybe I'm missing this but the only time you get full screen is when you start a new note I'd like this options when reading or editing too 

Keep up the good work!",problem discovery
273,"The Evernote desktop version effectively ruined my windows 7 computer and brought to a halt my MS Office especially outlook  Still trying to repair the effects of this program Sadly haven't even got to really use the program   If you use a Mac then maybe no issues, but it was a bad purchase for this windows computer user",problem discovery
227,This app keeps crashing as its loading my document Im a student in college using my iPad and this is not very good considering this is my book file,problem discovery
162,Seriouslywhy did select all functionality no longer available on everything?! (For most apple app) If i need to upload 500 imagesi have to check those 500 images one-by-one!?!,problem discovery
180,"The layout is very clean but it fails to load editing settings or feedback components It has potential, but is still buggy",problem discovery
20,"Disapointed	Developer pls optimize it for galaxy grand duo., and hope in modern combat 5 its comopatible with this grand duo too., not all can buy  high n phones all the time. Im really a fan of Modern Combat. Pls update and optimize it and il giv 5 star",problem discovery
2,No good.	It will let me make them but I can't share them to anything like Instagram!! :(( please fix this soon.,problem discovery
262,"Overall good maneuverability Love the connectivity I hate how hard iris to put different notes into different notebooks, though!",problem discovery
10,How about an English version?,problem discovery
179,Major sync failure! You put documents at work and go home and sync again only to find none of them are there Other times when they are actually synced you can't open them! I'm deleting it,problem discovery
325,NO	Fix the comments!,problem discovery
193,"Does anyone else have their Dropbox app, not the site, increasing in memory even without any favorite files??? Have to erase app once every 2 weeks!!!",problem discovery
223,With the latest update you can no longer download ePub files to iBooks The option to download is grayed out Looks like I will be moving over to google docs or something else,problem discovery
377,great way to save favourite things	love it but constant emails irritating,problem discovery
289,"Every time I log on to my TripAdvisor account through Facebook on my iPod Touch, it crashes I am only able to sign in through my Facebook, but it won't let me in This glitch needs to be fixed",problem discovery
22,Good	Its good but can u get me a layout of 11 pictutes coz we have a grup of 11 members and we need to use it as the icon can u add the same as soon as possible,problem discovery
101,"It's great when it works, the app disconnects frequently.",problem discovery
335,"In a previous version, if the user was looking at pictures and suspended the app it would leave it right where they were upon restarting the app Now the app completely refreshes at start up, which gets annoying sometimes Also its more cumbersome to swipe through images since it's only responsive on the top half of the screen instead of the whole screen",problem discovery
371,Fix some prblms,problem discovery
298,Full stars if completely downloaded	Not downloading properly although full netwrk excess,problem discovery
39,This is a very beautiful app and worthy of ever cent. The only thing is my app crashes every time I try to select for info for a planet. Maybe it is because the brand new iOS 4. NEEDS AN UPDATE!!!,problem discovery
291,"This app is horrible in my experience Takes forever to load, and search and filter options either partially or entirely fail I've gone back to using the TripAdvisor website through my browser",problem discovery
279,Not showing or even suggesting located areas,problem discovery
177,"Crashes if my connection is spotty, completely useless",problem discovery
321,"Fare	Still having problems, I got foreclosed on like 20 times last night and still aren't able to change my password or access my boards, it's as if my Pinterest has been compromised!)- please fix this issue so that I can get back into enjoying my Pinning Thx Pinterest!",problem discovery
364,"We really enjoy this app while traveling When you're on the road and you're ready to stop to eat, this is a great app to find a good place We have found some really good places to eat that we would not have known about Having a map to get you there also helps 

One small issue I have is that when you ask what's near you, or when you use a filter, not everything shows up  An example is that I was trying to find info on a brew pub near our motel  It didn't show up on the map and when I asked for pubs near my current location it didn't show up in the search  But, when I searched by name, there was the pub and reviews",problem discovery
215,I updated the dropbox app on my iPad and can't view any of my PDF files Viewing wasn't a problem before the update Help?,problem discovery
103,"Hi Fox, would you help me out with my Fox News app, It's as ""frozen"" as ice. I can not even write to you except through this review. This is the 1st. time it's happened with Fox for me so I'm leaving 4 stars ;) TY in advance !! I'm on an iPod 4 with wifi.",problem discovery
167,"Since the new update Dropbox freezes and blanks when viewing files, never did it before with the old os
Really annoying to what was a good product
Hope the powers that are responsible read this and provide a much needed fix",problem discovery
55,I just bought this last night. I tried it this morning before showing my daughter and it crashes 3 seconds after I try and open it. I unfortunately didn't read the reviews before I bought this as it sounds like this is happening to everyone. I want my money back.,problem discovery
303,Ok app	It is not updating since long I have been trying very much But it has gud to connect wid ur frnds,problem discovery
66,The only issue I had was one of the supplied sources crashing the program. But there are many places to find the songs. Awesome app!,problem discovery
6,"Wish someone warned me before . . .	. . . no spell check for Android , not even the paid version.",problem discovery
62,"I bought this app, and the entire workout set for $60. The app did not work correctly so I deleted it and re-installed it. Now it wants me to pay another $60 to re-download the workouts.  I have contacted the manufacturer twice and have not responded to my emails.",problem discovery
208,"UPDATE 22113 New Update
Same problem

Installed update and froze up I can access through the 'open' option on dropbox App Store page but not through dropbox icon on phone page I deleted and reinstalled - same thing I'm operating on the latest IOS for iPhone 4 Please fix",problem discovery
324,Very good	Fav app  Only bad thing is all the fakes Not good,problem discovery
72,"Fix it!  How many times do I have to send you the crash report before you fix the app? 

Until its fixed, I dislike this app",problem discovery
191,"Seriously? I keep trying to get to one of my files, but the app keeps crashing for some reason Please fix this

Other than that, you're doing an average job!",problem discovery
306,"Wtf	I was happily pinning away when I got a msg telling I'd reached my pin limit Wtf?  Look, if we are going to have limits of what I can pin, then I am going to delete this app and my account That's just stupid Plz fix I love Pinterest but if I can't get the same quality of service I've been used towellwhat's the point",problem discovery
375,"I dislike the update on the news feed, I don't want to see in which boards my pins are being pinned to I prefer the old feed",problem discovery
328,Nice app	Does evrythng gud except tht red eye optn doesnt fnctn properly,problem discovery
146,Charges made without any request and no approval,problem discovery
174,"The service is great, but the app fails Pressing 'Upload Here' freezes the app and crashes it on the next open",problem discovery
50,This app was amazing until the most recent update. It says I'm in offline mode even though I'm connected to wifi and all other apps and Internet on my iPhone are working. I can't access anything on the app and there does not appear to be a fix.,problem discovery
212,Just un install and reinstall Works Awesome now Love this app probably best ever!,problem discovery
136,I've had this app for a month and everyday I try to use it and it freezes upon 1st touch. So sad... Want it to work so bad... Can't bring myself to delete it!,problem discovery
163,Sometime in the last month Dropbox stopped syncing The most recent files on my phone are all 1 month old yet there are many more current files that I have loaded in Dropbox desktop folder for syncing Help!,problem discovery
140,Why did you drop support for earlier IOSs? Does Apple make you?,problem discovery
25,Needs a little improvement	Overall the app is great! It would be nice if you could pin posts to your page from the app. Otherwise you CANNOT do it at all if you are mobile. Fix it and you will have five stars!,problem discovery
205,Non-starred files occupied more than 600 MB and I have no way to reduce itit eats out all my ipad space,problem discovery
